PERMNO,date,TICKER,PERMCO,PRC,VOL,RET
13407,2015/9/2,FB,54084,89.89,27192527,0.030494
13407,2015/9/3,FB,54084,88.15,27048198,-0.019357
13407,2015/9/4,FB,54084,88.26,27348667,0.001248
13407,2015/9/8,FB,54084,89.53,27019702,0.014389
13407,2015/9/9,FB,54084,90.44,32551123,0.010164
13407,2015/9/10,FB,54084,91.98,26437398,0.017028
13407,2015/9/11,FB,54084,92.05,21187149,0.000761
13407,2015/9/14,FB,54084,92.31,20127888,0.002824
13407,2015/9/15,FB,54084,92.9,18859351,0.006392
13407,2015/9/16,FB,54084,93.45,16321193,0.00592
13407,2015/9/17,FB,54084,94.34,27841803,0.009524
13407,2015/9/18,FB,54084,94.4,62299984,0.000636
13407,2015/9/21,FB,54084,95.55,28811955,0.012182
13407,2015/9/22,FB,54084,92.96,36892642,-0.027106
13407,2015/9/23,FB,54084,93.97,21701627,0.010865
13407,2015/9/24,FB,54084,94.41,29106453,0.004682
13407,2015/9/25,FB,54084,92.77,28961622,-0.017371
13407,2015/9/28,FB,54084,89.21,41199870,-0.038374
13407,2015/9/29,FB,54084,86.67,42281838,-0.028472
13407,2015/9/30,FB,54084,89.9,36169146,0.037268
13407,2015/10/1,FB,54084,90.95,29283652,0.01168
13407,2015/10/2,FB,54084,92.07,37881892,0.012314
13407,2015/10/5,FB,54084,94.01,27292517,0.021071
13407,2015/10/6,FB,54084,92.8,22706750,-0.012871
13407,2015/10/7,FB,54084,92.4,24129362,-0.00431
13407,2015/10/8,FB,54084,92.47,27290523,0.000758
13407,2015/10/9,FB,54084,93.24,20012911,0.008327
13407,2015/10/12,FB,54084,94.26,18449562,0.01094
13407,2015/10/13,FB,54084,94.12,19480347,-0.001485
13407,2015/10/14,FB,54084,94.07,19253351,-0.000531
13407,2015/10/15,FB,54084,95.96,27557516,0.020091
13407,2015/10/16,FB,54084,97.54,25412856,0.016465
13407,2015/10/19,FB,54084,98.47,23729924,0.009535
13407,2015/10/20,FB,54084,97,30882977,-0.014928
13407,2015/10/21,FB,54084,97.11,22003730,0.001134
13407,2015/10/22,FB,54084,99.67,26393301,0.026362
13407,2015/10/23,FB,54084,102.19,42809661,0.025283
13407,2015/10/26,FB,54084,103.77,25961212,0.015461
13407,2015/10/27,FB,54084,103.7,23795472,-0.000675
13407,2015/10/28,FB,54084,104.2,24081515,0.004822
13407,2015/10/29,FB,54084,104.88,20316691,0.006526
13407,2015/10/30,FB,54084,101.97,33487104,-0.027746
13407,2015/11/2,FB,54084,103.31,24004469,0.013141
13407,2015/11/3,FB,54084,102.58,21242341,-0.007066
13407,2015/11/4,FB,54084,103.94,43477308,0.013258
13407,2015/11/5,FB,54084,108.76,63232861,0.046373
13407,2015/11/6,FB,54084,107.095,35084342,-0.015309
13407,2015/11/9,FB,54084,106.49,26387540,-0.005649
13407,2015/11/10,FB,54084,107.91,25038626,0.013335
13407,2015/11/11,FB,54084,109.01,25057099,0.010194
13407,2015/11/12,FB,54084,108.02,20930223,-0.009082
13407,2015/11/13,FB,54084,103.95,30278453,-0.037678
13407,2015/11/16,FB,54084,104.04,49309167,0.000866
13407,2015/11/17,FB,54084,105.13,26807230,0.010477
13407,2015/11/18,FB,54084,107.77,23837276,0.025112
13407,2015/11/19,FB,54084,106.26,25520599,-0.014011
13407,2015/11/20,FB,54084,107.32,22129648,0.009976
13407,2015/11/23,FB,54084,106.95,19897220,-0.003448
13407,2015/11/24,FB,54084,105.74,23577293,-0.011314
13407,2015/11/25,FB,54084,105.41,15152762,-0.003121
13407,2015/11/27,FB,54084,105.45,5913066,0.000379
13407,2015/11/30,FB,54084,104.24,20383179,-0.011475
13407,2015/12/1,FB,54084,107.12,22781868,0.027629
13407,2015/12/2,FB,54084,106.07,24429063,-0.009802
13407,2015/12/3,FB,54084,104.38,23236485,-0.015933
13407,2015/12/4,FB,54084,106.18,21224821,0.017245
13407,2015/12/7,FB,54084,105.61,15514052,-0.005368
13407,2015/12/8,FB,54084,106.49,20401890,0.008333
13407,2015/12/9,FB,54084,104.6,23517268,-0.017748
13407,2015/12/10,FB,54084,105.42,17454312,0.007839
13407,2015/12/11,FB,54084,102.12,26427727,-0.031303
13407,2015/12/14,FB,54084,104.66,24813496,0.024873
13407,2015/12/15,FB,54084,104.55,21764331,-0.001051
13407,2015/12/16,FB,54084,106.79,22680547,0.021425
13407,2015/12/17,FB,54084,106.22,21675686,-0.005338
13407,2015/12/18,FB,54084,104.04,35994199,-0.020523
13407,2015/12/21,FB,54084,104.77,16138786,0.007016
13407,2015/12/22,FB,54084,105.51,14597122,0.007063
13407,2015/12/23,FB,54084,104.63,19599673,-0.00834
13407,2015/12/24,FB,54084,105.02,6512150,0.003727
13407,2015/12/28,FB,54084,105.93,13069733,0.008665
13407,2015/12/29,FB,54084,107.26,17179901,0.012555
13407,2015/12/30,FB,54084,106.22,13115007,-0.009696
13407,2015/12/31,FB,54084,104.66,18391064,-0.014686
13407,2016/1/4,FB,54084,102.22,37912403,-0.023314
13407,2016/1/5,FB,54084,102.73,23258238,0.004989
13407,2016/1/6,FB,54084,102.97,25096183,0.002336
13407,2016/1/7,FB,54084,97.92,45172501,-0.049043
13407,2016/1/8,FB,54084,97.33,35702298,-0.006025
13407,2016/1/11,FB,54084,97.51,29932385,0.001849
13407,2016/1/12,FB,54084,99.37,28395490,0.019075
13407,2016/1/13,FB,54084,95.44,33420553,-0.039549
13407,2016/1/14,FB,54084,98.37,48701123,0.0307
13407,2016/1/15,FB,54084,94.97,46132781,-0.034563
13407,2016/1/19,FB,54084,95.26,31248256,0.003054
13407,2016/1/20,FB,54084,94.35,59067647,-0.009553
13407,2016/1/21,FB,54084,94.16,30518939,-0.002014
13407,2016/1/22,FB,54084,97.94,30495387,0.040144
13407,2016/1/25,FB,54084,97.01,32482015,-0.009496
13407,2016/1/26,FB,54084,97.34,26877880,0.003402
13407,2016/1/27,FB,54084,94.45,58699359,-0.02969
13407,2016/1/28,FB,54084,109.11,107475327,0.155214
13407,2016/1/29,FB,54084,112.21,62739548,0.028412
13407,2016/2/1,FB,54084,115.09,46197526,0.025666
13407,2016/2/2,FB,54084,114.61,59779771,-0.004171
13407,2016/2/3,FB,54084,112.69,56919324,-0.016752
13407,2016/2/4,FB,54084,110.49,38890599,-0.019523
13407,2016/2/5,FB,54084,104.07,76894721,-0.058105
13407,2016/2/8,FB,54084,99.75,71229850,-0.041511
13407,2016/2/9,FB,54084,99.54,62709018,-0.002105
13407,2016/2/10,FB,54084,101,45179770,0.014667
13407,2016/2/11,FB,54084,101.91,43670634,0.00901
13407,2016/2/12,FB,54084,102.01,36177760,0.000981
13407,2016/2/16,FB,54084,101.61,45687224,-0.003921
13407,2016/2/17,FB,54084,105.2,44073369,0.035331
13407,2016/2/18,FB,54084,103.47,29653508,-0.016445
13407,2016/2/19,FB,54084,104.57,32476973,0.010631
13407,2016/2/22,FB,54084,107.16,35733234,0.024768
13407,2016/2/23,FB,54084,105.46,25326514,-0.015864
13407,2016/2/24,FB,54084,106.88,34412702,0.013465
13407,2016/2/25,FB,54084,108.07,29906278,0.011134
13407,2016/2/26,FB,54084,107.92,26686193,-0.001388
13407,2016/2/29,FB,54084,106.92,32778992,-0.009266
13407,2016/3/1,FB,54084,109.82,26880415,0.027123
13407,2016/3/2,FB,54084,109.95,25689110,0.001184
13407,2016/3/3,FB,54084,109.58,21353092,-0.003365
13407,2016/3/4,FB,54084,108.39,24938858,-0.01086
13407,2016/3/7,FB,54084,105.73,31534175,-0.024541
13407,2016/3/8,FB,54084,105.93,25616963,0.001892
13407,2016/3/9,FB,54084,107.51,20493305,0.014916
13407,2016/3/10,FB,54084,107.32,24854284,-0.001767
13407,2016/3/11,FB,54084,109.41,20697553,0.019475
13407,2016/3/14,FB,54084,109.89,17249365,0.004387
13407,2016/3/15,FB,54084,110.67,17618460,0.007098
13407,2016/3/16,FB,54084,112.18,24745378,0.013644
13407,2016/3/17,FB,54084,111.02,24241247,-0.010341
13407,2016/3/18,FB,54084,111.45,36256877,0.003873
13407,2016/3/21,FB,54084,111.85,18449958,0.003589
13407,2016/3/22,FB,54084,112.25,19016983,0.003576
13407,2016/3/23,FB,54084,112.54,18561974,0.002584
13407,2016/3/24,FB,54084,113.05,17839119,0.004532
13407,2016/3/28,FB,54084,113.69,21351751,0.005661
13407,2016/3/29,FB,54084,116.14,29825630,0.02155
13407,2016/3/30,FB,54084,114.7,33235184,-0.012399
13407,2016/3/31,FB,54084,114.1,21207526,-0.005231
13407,2016/4/1,FB,54084,116.06,24760504,0.017178
13407,2016/4/4,FB,54084,112.55,48487913,-0.030243
13407,2016/4/5,FB,54084,112.22,22962365,-0.002932
13407,2016/4/6,FB,54084,113.71,20824640,0.013277
13407,2016/4/7,FB,54084,113.64,20714537,-0.000616
13407,2016/4/8,FB,54084,110.63,48497808,-0.026487
13407,2016/4/11,FB,54084,108.99,39762666,-0.014824
13407,2016/4/12,FB,54084,110.61,26248081,0.014864
13407,2016/4/13,FB,54084,110.51,88240265,-0.000904
13407,2016/4/14,FB,54084,110.84,28473432,0.002986
13407,2016/4/15,FB,54084,109.64,20921803,-0.010826
13407,2016/4/18,FB,54084,110.45,21167199,0.007388
13407,2016/4/19,FB,54084,112.29,30210455,0.016659
13407,2016/4/20,FB,54084,112.42,21027910,0.001158
13407,2016/4/21,FB,54084,113.44,20875230,0.009073
13407,2016/4/22,FB,54084,110.56,38458201,-0.025388
13407,2016/4/25,FB,54084,110.1,21017895,-0.004161
13407,2016/4/26,FB,54084,108.76,22521534,-0.012171
13407,2016/4/27,FB,54084,108.89,52248087,0.001195
13407,2016/4/28,FB,54084,116.73,87110121,0.071999
13407,2016/4/29,FB,54084,117.58,37140569,0.007282
13407,2016/5/2,FB,54084,118.57,28095168,0.00842
13407,2016/5/3,FB,54084,117.43,24119762,-0.009615
13407,2016/5/4,FB,54084,118.06,23448286,0.005365
13407,2016/5/5,FB,54084,117.81,22057437,-0.002118
13407,2016/5/6,FB,54084,119.49,26395568,0.01426
13407,2016/5/9,FB,54084,119.24,21138059,-0.002092
13407,2016/5/10,FB,54084,120.5,23246384,0.010567
13407,2016/5/11,FB,54084,119.52,22038445,-0.008133
13407,2016/5/12,FB,54084,120.28,22035465,0.006359
13407,2016/5/13,FB,54084,119.81,18124286,-0.003908
13407,2016/5/16,FB,54084,118.67,31247834,-0.009515
13407,2016/5/17,FB,54084,117.35,21328685,-0.011123
13407,2016/5/18,FB,54084,117.65,21642299,0.002556
13407,2016/5/19,FB,54084,116.81,20544109,-0.00714
13407,2016/5/20,FB,54084,117.35,18944931,0.004623
13407,2016/5/23,FB,54084,115.97,20441004,-0.01176
13407,2016/5/24,FB,54084,117.7,20183627,0.014918
13407,2016/5/25,FB,54084,117.89,20035636,0.001614
13407,2016/5/26,FB,54084,119.47,18481340,0.013402
13407,2016/5/27,FB,54084,119.38,13493563,-0.000753
13407,2016/5/31,FB,54084,118.81,23549335,-0.004775
13407,2016/6/1,FB,54084,118.78,15029494,-0.000252
13407,2016/6/2,FB,54084,118.93,13229086,0.001263
13407,2016/6/3,FB,54084,118.47,14135114,-0.003868
13407,2016/6/6,FB,54084,118.79,12744676,0.002701
13407,2016/6/7,FB,54084,117.76,17103523,-0.008671
13407,2016/6/8,FB,54084,118.39,14505596,0.00535
13407,2016/6/9,FB,54084,118.56,13859240,0.001436
13407,2016/6/10,FB,54084,116.62,18510826,-0.016363
13407,2016/6/13,FB,54084,113.95,31718239,-0.022895
13407,2016/6/14,FB,54084,114.94,17641505,0.008688
13407,2016/6/15,FB,54084,114.6,19819432,-0.002958
13407,2016/6/16,FB,54084,114.39,19236255,-0.001832
13407,2016/6/17,FB,54084,113.02,24644308,-0.011977
13407,2016/6/20,FB,54084,113.37,20785390,0.003097
13407,2016/6/21,FB,54084,114.38,19166401,0.008909
13407,2016/6/22,FB,54084,113.91,15816306,-0.004109
13407,2016/6/23,FB,54084,115.08,16176895,0.010271
13407,2016/6/24,FB,54084,112.08,40643380,-0.026069
13407,2016/6/27,FB,54084,108.97,36413722,-0.027748
13407,2016/6/28,FB,54084,112.7,26813842,0.03423
13407,2016/6/29,FB,54084,114.16,21151176,0.012955
13407,2016/6/30,FB,54084,114.28,23393016,0.001051
13407,2016/7/1,FB,54084,114.19,14980784,-0.000788
13407,2016/7/5,FB,54084,114,14228575,-0.001664
13407,2016/7/6,FB,54084,116.7,24337586,0.023684
13407,2016/7/7,FB,54084,115.85,16629201,-0.007284
13407,2016/7/8,FB,54084,117.24,18142617,0.011998
13407,2016/7/11,FB,54084,117.87,17711570,0.005374
13407,2016/7/12,FB,54084,117.93,15217700,0.000509
13407,2016/7/13,FB,54084,116.78,16207662,-0.009752
13407,2016/7/14,FB,54084,117.29,14607736,0.004367
13407,2016/7/15,FB,54084,116.86,16646164,-0.003666
13407,2016/7/18,FB,54084,119.37,20868367,0.021479
13407,2016/7/19,FB,54084,120.61,21541292,0.010388
13407,2016/7/20,FB,54084,121.92,20046452,0.010861
13407,2016/7/21,FB,54084,120.61,17833042,-0.010745
13407,2016/7/22,FB,54084,121,18422410,0.003234
13407,2016/7/25,FB,54084,121.63,18493771,0.005207
13407,2016/7/26,FB,54084,121.22,17611964,-0.003371
13407,2016/7/27,FB,54084,123.34,52737522,0.017489
13407,2016/7/28,FB,54084,125,78955758,0.013459
13407,2016/7/29,FB,54084,123.94,35058803,-0.00848
13407,2016/8/1,FB,54084,124.31,25006749,0.002985
13407,2016/8/2,FB,54084,123.09,23968414,-0.009814
13407,2016/8/3,FB,54084,122.51,18525332,-0.004712
13407,2016/8/4,FB,54084,124.36,21065974,0.015101
13407,2016/8/5,FB,54084,125.15,20184035,0.006353
13407,2016/8/8,FB,54084,125.26,15233929,0.000879
13407,2016/8/9,FB,54084,125.06,19624336,-0.001597
13407,2016/8/10,FB,54084,124.88,10670148,-0.001439
13407,2016/8/11,FB,54084,124.9,11729519,0.00016
13407,2016/8/12,FB,54084,124.88,12158955,-0.00016
13407,2016/8/15,FB,54084,123.9,19295137,-0.007848
13407,2016/8/16,FB,54084,123.3,14222410,-0.004843
13407,2016/8/17,FB,54084,124.37,13794279,0.008678
13407,2016/8/18,FB,54084,123.91,12400816,-0.003699
13407,2016/8/19,FB,54084,123.56,11688265,-0.002825
13407,2016/8/22,FB,54084,124.15,14386361,0.004775
13407,2016/8/23,FB,54084,124.37,13309452,0.001772
13407,2016/8/24,FB,54084,123.48,12243719,-0.007156
13407,2016/8/25,FB,54084,123.89,10730811,0.00332
13407,2016/8/26,FB,54084,124.96,17504825,0.008637
13407,2016/8/29,FB,54084,126.54,15926320,0.012644
13407,2016/8/30,FB,54084,125.84,17804401,-0.005532
13407,2016/8/31,FB,54084,126.12,14200661,0.002225
13407,2016/9/1,FB,54084,126.17,13537075,0.000396
13407,2016/9/2,FB,54084,126.51,12118773,0.002695
13407,2016/9/6,FB,54084,129.73,26299287,0.025452
13407,2016/9/7,FB,54084,131.05,27990803,0.010175
13407,2016/9/8,FB,54084,130.27,15684598,-0.005952
13407,2016/9/9,FB,54084,127.1,27102639,-0.024334
13407,2016/9/12,FB,54084,128.69,21255738,0.01251
13407,2016/9/13,FB,54084,127.21,18016352,-0.011501
13407,2016/9/14,FB,54084,127.77,15720391,0.004402
13407,2016/9/15,FB,54084,128.35001,15111838,0.004539
13407,2016/9/16,FB,54084,129.07001,24119174,0.00561
13407,2016/9/19,FB,54084,128.64999,14960458,-0.003254
13407,2016/9/20,FB,54084,128.64,11083751,-0.000078
13407,2016/9/21,FB,54084,129.94,14068396,0.010106
13407,2016/9/22,FB,54084,130.08,15538307,0.001077
13407,2016/9/23,FB,54084,127.96,28326466,-0.016298
13407,2016/9/26,FB,54084,127.31,15067620,-0.00508
13407,2016/9/27,FB,54084,128.69,15637111,0.01084
13407,2016/9/28,FB,54084,129.23,12047636,0.004196
13407,2016/9/29,FB,54084,128.09,14532241,-0.008821
13407,2016/9/30,FB,54084,128.27,18402853,0.001405
13407,2016/10/3,FB,54084,128.77,13156943,0.003898
